date,open,high,low,close,volume
2019-08-02,17100.0,18500.0,15550.0,15600.0,5988217
2019-08-05,15800.0,16300.0,13150.0,14300.0,1157763
2019-08-06,13650.0,15800.0,12850.0,14300.0,1221330
2019-08-07,14950.0,17800.0,14600.0,16450.0,2540174
2019-08-08,16400.0,17000.0,15650.0,16650.0,895071
2019-08-09,16950.0,17650.0,16300.0,16950.0,821493
2019-08-12,17300.0,18450.0,17000.0,17800.0,1046272
2019-08-13,17700.0,19600.0,17150.0,18200.0,1765773
2019-08-14,18700.0,18950.0,17650.0,18100.0,552870
2019-08-16,18300.0,18450.0,16850.0,17150.0,522835
2019-08-19,17350.0,17600.0,16050.0,16100.0,242690
2019-08-20,16250.0,16800.0,16050.0,16750.0,184757
2019-08-21,16600.0,17400.0,16550.0,17200.0,213664
2019-08-22,17200.0,17250.0,16550.0,16800.0,121807
2019-08-23,17250.0,17550.0,16800.0,17150.0,246076
2019-08-26,16650.0,16800.0,15550.0,15850.0,182354
2019-08-27,16200.0,16600.0,15500.0,15600.0,160971
2019-08-28,15600.0,16050.0,15550.0,15950.0,90350
2019-08-29,16550.0,17350.0,16450.0,17000.0,374748
2019-08-30,17300.0,17300.0,16850.0,17200.0,102661
2019-09-02,17150.0,18100.0,16950.0,17500.0,349790
2019-09-03,17650.0,18000.0,17200.0,17400.0,293742
2019-09-04,17500.0,17700.0,17250.0,17500.0,136415
2019-09-05,17600.0,17850.0,17350.0,17700.0,142317
2019-09-06,18050.0,19400.0,17750.0,19100.0,735448
2019-09-09,19750.0,21000.0,19500.0,20700.0,1148892
2019-09-10,20500.0,21050.0,19400.0,19700.0,536812
2019-09-11,19800.0,19850.0,19000.0,19650.0,302115
2019-09-16,19650.0,19700.0,18700.0,19150.0,231247
2019-09-17,19050.0,19400.0,18750.0,19250.0,144417
2019-09-18,19250.0,21250.0,18800.0,21250.0,479374
2019-09-19,21400.0,21850.0,20600.0,20950.0,325824
2019-09-20,20950.0,22500.0,20400.0,21950.0,466477
2019-09-23,21700.0,22700.0,21400.0,21500.0,248131
2019-09-24,21800.0,22550.0,21400.0,21650.0,232364
2019-09-25,21600.0,21600.0,20900.0,21000.0,215047
2019-09-26,21350.0,21550.0,20850.0,21250.0,129685
2019-09-27,21200.0,21200.0,20750.0,20850.0,91241
2019-09-30,20400.0,21100.0,19950.0,20900.0,156525
2019-10-01,20850.0,21500.0,20550.0,20700.0,117010
2019-10-02,20500.0,20950.0,19950.0,20050.0,123910
2019-10-04,19800.0,20400.0,19350.0,19800.0,131555
2019-10-07,20100.0,20800.0,19650.0,20200.0,190319
2019-10-08,20050.0,21300.0,20050.0,21200.0,205837
2019-10-10,20850.0,21200.0,20300.0,20600.0,211705
2019-10-11,20900.0,20900.0,19100.0,19350.0,277715
2019-10-14,19500.0,19850.0,19200.0,19750.0,172763
2019-10-15,19650.0,20950.0,19550.0,20700.0,249424
2019-10-16,21000.0,21250.0,20300.0,20400.0,126638
2019-10-17,20300.0,20600.0,19900.0,20000.0,83235
2019-10-18,19950.0,20500.0,19650.0,19700.0,115416
2019-10-21,19550.0,20000.0,19250.0,20000.0,106148
2019-10-22,20300.0,20350.0,19450.0,19650.0,104964
2019-10-23,19650.0,19650.0,19100.0,19150.0,98693
2019-10-24,19200.0,19450.0,18200.0,18650.0,166845
2019-10-25,18900.0,19050.0,18300.0,18300.0,178737
2019-10-28,18400.0,18850.0,18400.0,18700.0,67435
2019-10-29,18700.0,19300.0,18500.0,19150.0,62426
