date,open,high,low,close,volume
2020-01-02,7550.0,7590.0,7450.0,7450.0,1279267
2020-01-03,7510.0,7630.0,7490.0,7560.0,1825794
2020-01-06,7460.0,7510.0,7390.0,7400.0,1239612
2020-01-07,7420.0,7510.0,7400.0,7420.0,1242596
2020-01-08,7380.0,7380.0,7200.0,7270.0,2255821
2020-01-09,7330.0,7420.0,7270.0,7360.0,1870489
2020-01-10,7370.0,7420.0,7310.0,7400.0,1362653
2020-01-13,7410.0,7470.0,7350.0,7450.0,1245370
2020-01-14,7500.0,7760.0,7480.0,7750.0,4135800
2020-01-15,7710.0,7740.0,7640.0,7710.0,1586082
2020-01-16,7670.0,7720.0,7610.0,7690.0,1808176
2020-01-17,7760.0,7770.0,7650.0,7700.0,2055233
2020-01-20,7710.0,7790.0,7670.0,7720.0,1632283
2020-01-21,7740.0,7740.0,7600.0,7600.0,1186718
2020-01-22,7600.0,7730.0,7560.0,7730.0,1417701
2020-01-23,7670.0,7700.0,7560.0,7560.0,1861496
2020-01-28,7280.0,7440.0,7150.0,7180.0,2642995
2020-01-29,7240.0,7250.0,7150.0,7180.0,1695168
2020-01-30,7160.0,7180.0,6980.0,7030.0,2181040
2020-01-31,7110.0,7120.0,6850.0,6890.0,3064046
2020-02-03,6790.0,6890.0,6700.0,6800.0,2491590
2020-02-04,6790.0,6890.0,6780.0,6810.0,2376020
2020-02-05,6870.0,6930.0,6820.0,6890.0,2099816
2020-02-06,6970.0,7200.0,6960.0,7180.0,2328672
2020-02-07,7170.0,7180.0,7030.0,7060.0,1626756
2020-02-10,7000.0,7030.0,6940.0,7000.0,1300135
2020-02-11,7040.0,7080.0,6980.0,7020.0,1308856
2020-02-12,7000.0,7050.0,6930.0,7020.0,1504941
2020-02-13,7070.0,7090.0,6980.0,7000.0,1974345
2020-02-14,6990.0,7080.0,6990.0,7010.0,1403982
2020-02-17,7030.0,7030.0,6950.0,6970.0,1040372
2020-02-18,6950.0,7000.0,6900.0,6940.0,1548921
2020-02-19,6980.0,7000.0,6860.0,6920.0,1316291
2020-02-20,6950.0,6960.0,6830.0,6850.0,1327880
2020-02-21,6780.0,6790.0,6690.0,6700.0,1991463
2020-02-24,6540.0,6570.0,6450.0,6450.0,2584385
2020-02-25,6370.0,6690.0,6370.0,6650.0,2372587
2020-02-26,6520.0,6690.0,6520.0,6650.0,1796377
2020-02-27,6600.0,6660.0,6520.0,6600.0,1866338
2020-02-28,6490.0,6520.0,6320.0,6340.0,3309245
2020-03-02,6350.0,6420.0,6250.0,6330.0,2076204
2020-03-03,6430.0,6500.0,6350.0,6370.0,1830762
2020-03-04,6370.0,6590.0,6350.0,6550.0,1840563
2020-03-05,6620.0,6720.0,6570.0,6640.0,1658814
2020-03-06,6530.0,6580.0,6460.0,6490.0,1546505
2020-03-09,6350.0,6360.0,6160.0,6190.0,2834246
2020-03-10,6130.0,6290.0,6120.0,6260.0,2326196
2020-03-11,6240.0,6320.0,6030.0,6090.0,2758304
2020-03-12,6120.0,6130.0,5710.0,5800.0,4142758
2020-03-13,5230.0,5690.0,5170.0,5510.0,4486498
2020-03-16,5580.0,5670.0,5350.0,5360.0,2645942
2020-03-17,5000.0,5320.0,4960.0,5050.0,4446265
2020-03-18,5080.0,5130.0,4530.0,4530.0,5423802
2020-03-19,4575.0,4610.0,3505.0,3600.0,10119912
2020-03-20,3750.0,3985.0,3675.0,3985.0,8484456
2020-03-23,3615.0,3790.0,3565.0,3595.0,7702606
2020-03-24,3750.0,4260.0,3665.0,4170.0,7099214
2020-03-25,4445.0,4990.0,4410.0,4990.0,9379585
2020-03-26,4995.0,5320.0,4855.0,5080.0,6829247
2020-03-27,5490.0,5520.0,5010.0,5200.0,5758452
2020-03-30,4950.0,5330.0,4910.0,5320.0,4182851
2020-03-31,5450.0,5490.0,5220.0,5270.0,4263950
2020-04-01,5220.0,5310.0,4895.0,4895.0,5245398
2020-04-02,4900.0,5100.0,4685.0,5090.0,4081955
2020-04-03,5130.0,5160.0,4870.0,4920.0,4210580
2020-04-06,4965.0,5150.0,4935.0,5120.0,3772042
2020-04-07,5280.0,5290.0,5010.0,5170.0,5527707
2020-04-08,5090.0,5130.0,5020.0,5020.0,3966497
2020-04-09,5120.0,5140.0,5040.0,5120.0,3373538
2020-04-10,5050.0,5230.0,5020.0,5150.0,4870774
2020-04-13,5160.0,5190.0,5030.0,5030.0,3048585
2020-04-14,5090.0,5220.0,5030.0,5190.0,3095766
2020-04-16,5080.0,5120.0,5000.0,5060.0,3603016
2020-04-17,5160.0,5530.0,5130.0,5440.0,8448983
2020-04-20,5490.0,5500.0,5260.0,5320.0,4034450
2020-04-21,5270.0,5330.0,5120.0,5230.0,3951087
2020-04-22,5120.0,5220.0,5060.0,5210.0,2632401
2020-04-23,5250.0,5280.0,5190.0,5220.0,2394924
2020-04-24,5160.0,5200.0,5120.0,5150.0,1722616
2020-04-27,5210.0,5450.0,5180.0,5380.0,3807428
2020-04-28,5430.0,5520.0,5260.0,5350.0,3810029
2020-04-29,5380.0,5740.0,5330.0,5610.0,8511707
2020-05-04,5450.0,5570.0,5350.0,5470.0,4367698
2020-05-06,5540.0,5750.0,5540.0,5610.0,3834726
2020-05-07,5580.0,5680.0,5530.0,5590.0,2256454
2020-05-08,5680.0,5710.0,5640.0,5650.0,2177933
2020-05-11,5630.0,5720.0,5510.0,5520.0,2691555
2020-05-12,5500.0,5520.0,5340.0,5370.0,2613257
2020-05-13,5280.0,5440.0,5250.0,5440.0,1750961
2020-05-14,5380.0,5440.0,5280.0,5440.0,2548793
2020-05-15,5490.0,5540.0,5330.0,5340.0,2333884
2020-05-18,5410.0,5410.0,5280.0,5330.0,2078550
2020-05-19,5560.0,5680.0,5490.0,5650.0,5154711
2020-05-20,5580.0,5730.0,5570.0,5650.0,2206353
2020-05-21,5720.0,6040.0,5610.0,5870.0,5271266
2020-05-22,5870.0,5940.0,5550.0,5610.0,3626474
2020-05-25,5670.0,5760.0,5590.0,5760.0,2240639
2020-05-26,5800.0,5990.0,5770.0,5990.0,3140925
2020-05-27,6030.0,6190.0,5950.0,6160.0,4068057
2020-05-28,6280.0,6590.0,6220.0,6450.0,7651448
2020-05-29,6400.0,6540.0,6170.0,6170.0,9966883
2020-06-01,6260.0,6390.0,6240.0,6320.0,3941879
2020-06-02,6280.0,6600.0,6250.0,6460.0,4738661
2020-06-03,6580.0,7040.0,6570.0,6940.0,9158624
2020-06-04,7110.0,7250.0,6740.0,6790.0,6188333
2020-06-05,6730.0,7190.0,6690.0,6960.0,7492586
2020-06-08,7280.0,7280.0,7040.0,7080.0,5211707
2020-06-09,7170.0,7180.0,6870.0,6910.0,4191138
2020-06-10,6890.0,7100.0,6820.0,7080.0,3520239
2020-06-11,7000.0,7000.0,6810.0,6970.0,4644874
2020-06-12,6520.0,6850.0,6450.0,6840.0,5373004
2020-06-15,6710.0,6820.0,6320.0,6320.0,4175382
2020-06-16,6550.0,6790.0,6550.0,6720.0,3761634
2020-06-17,6690.0,6820.0,6610.0,6720.0,2979586
2020-06-18,6660.0,6900.0,6660.0,6730.0,3358776
2020-06-19,6840.0,6860.0,6650.0,6780.0,2635179
2020-06-22,6720.0,7050.0,6720.0,6930.0,3164347
2020-06-23,7030.0,7040.0,6780.0,6890.0,2997311
2020-06-24,6980.0,7060.0,6950.0,6980.0,2938189
2020-06-25,6820.0,6890.0,6650.0,6650.0,3610969
2020-06-26,6720.0,6780.0,6590.0,6610.0,2556971
2020-06-29,6420.0,6520.0,6410.0,6450.0,2344283
2020-06-30,6560.0,6750.0,6550.0,6670.0,2321496
2020-07-01,6730.0,6850.0,6720.0,6730.0,1837148
2020-07-02,6830.0,6850.0,6740.0,6770.0,1228685
2020-07-03,6780.0,6850.0,6730.0,6800.0,1294379
2020-07-06,6810.0,6930.0,6740.0,6890.0,1858072
2020-07-07,7000.0,7040.0,6880.0,6900.0,2336558
2020-07-08,6900.0,6970.0,6870.0,6960.0,1603216
2020-07-09,6990.0,7020.0,6910.0,6990.0,1956622
2020-07-10,6990.0,6990.0,6850.0,6850.0,2153521
2020-07-13,6940.0,7300.0,6890.0,7160.0,5858403
2020-07-14,7090.0,7130.0,6950.0,7070.0,2820530
2020-07-15,7260.0,7420.0,7210.0,7400.0,4946484
2020-07-16,7360.0,7720.0,7360.0,7570.0,4437326
2020-07-17,7580.0,7950.0,7580.0,7910.0,5462291
2020-07-20,7950.0,7960.0,7610.0,7710.0,3282676
2020-07-21,7830.0,8170.0,7740.0,7980.0,5246971
2020-07-22,8030.0,8290.0,8000.0,8040.0,3419288
2020-07-23,8010.0,8020.0,7670.0,7720.0,4145975
2020-07-24,7600.0,7770.0,7470.0,7530.0,2832089
2020-07-27,7510.0,7730.0,7470.0,7540.0,2267867
2020-07-28,7570.0,7660.0,7480.0,7540.0,2233695
2020-07-29,7460.0,7600.0,7390.0,7560.0,1895982
2020-07-30,7580.0,7650.0,7460.0,7460.0,1945831
2020-07-31,7630.0,8040.0,7580.0,7890.0,6002025
2020-08-03,7990.0,8080.0,7900.0,8020.0,2843507
2020-08-04,8070.0,8540.0,8070.0,8540.0,6792951
2020-08-05,9060.0,9190.0,8800.0,8960.0,6962066
2020-08-06,8990.0,9100.0,8660.0,8840.0,6027898
2020-08-07,8980.0,9020.0,8620.0,8810.0,5127224
