date,open,high,low,close,volume
2022-02-25,7200.0,7570.0,6470.0,6510.0,4992315
2022-02-28,6470.0,6470.0,6120.0,6120.0,689136
2022-03-02,6130.0,6160.0,5900.0,5930.0,598991
2022-03-03,6000.0,6190.0,5960.0,6090.0,478539
2022-03-04,7000.0,7910.0,6310.0,7480.0,13496567
2022-03-07,8000.0,9450.0,7630.0,8820.0,29597377
2022-03-08,8530.0,8930.0,8060.0,8110.0,6370759
2022-03-10,8160.0,8590.0,7750.0,7820.0,4116621
2022-03-11,7740.0,7910.0,7460.0,7540.0,1432666
2022-03-14,7550.0,8620.0,7480.0,7730.0,7113300
2022-03-15,7720.0,7740.0,7360.0,7500.0,980454
2022-03-16,7680.0,7870.0,7460.0,7530.0,1622585
2022-03-17,7600.0,7730.0,7400.0,7410.0,815279
2022-03-18,7460.0,7480.0,7190.0,7260.0,549043
2022-03-21,7240.0,7700.0,7230.0,7250.0,1183596
2022-03-22,7260.0,7960.0,7210.0,7370.0,2240029
2022-03-23,7480.0,7710.0,7400.0,7580.0,1035624
2022-03-24,7500.0,7560.0,7370.0,7520.0,428741
2022-03-25,7510.0,7660.0,7470.0,7530.0,412873
2022-03-28,7510.0,7520.0,6970.0,7020.0,996644
2022-03-29,7070.0,7080.0,6800.0,6910.0,463503
2022-03-30,6920.0,7060.0,6770.0,6800.0,470679
2022-03-31,6750.0,6930.0,6750.0,6770.0,397717
2022-04-01,6790.0,6900.0,6760.0,6850.0,350994
2022-04-04,6870.0,7250.0,6810.0,7030.0,650409
2022-04-05,7010.0,7150.0,6960.0,7030.0,363840
2022-04-06,7000.0,7690.0,7000.0,7190.0,2110978
2022-04-07,7230.0,8390.0,7190.0,7610.0,5746898
2022-04-08,7650.0,7730.0,7290.0,7400.0,811315
2022-04-11,7370.0,8300.0,7370.0,7810.0,6568645
2022-04-12,7690.0,7870.0,7560.0,7560.0,1043648
2022-04-13,7620.0,7790.0,7330.0,7380.0,682531
2022-04-14,7440.0,8150.0,7320.0,7510.0,1824455
2022-04-15,7530.0,7820.0,7530.0,7640.0,645258
2022-04-18,7670.0,7750.0,7580.0,7690.0,326248
2022-04-19,7760.0,7770.0,7630.0,7710.0,204612
2022-04-20,7730.0,7740.0,7580.0,7580.0,229884
2022-04-21,7550.0,7800.0,7480.0,7730.0,397068
2022-04-22,7650.0,7710.0,7570.0,7620.0,178815
2022-04-25,7570.0,7580.0,7460.0,7460.0,165347
2022-04-26,7560.0,8070.0,7510.0,7710.0,1224153
2022-04-27,7510.0,7650.0,7500.0,7560.0,342915
2022-04-28,7590.0,7890.0,7480.0,7640.0,656192
2022-04-29,7690.0,7880.0,7610.0,7710.0,382685
2022-05-02,7630.0,7940.0,7610.0,7720.0,357639
2022-05-03,7720.0,8160.0,7700.0,8060.0,1095260
2022-05-04,8110.0,8130.0,7870.0,8000.0,688919
2022-05-06,7880.0,7920.0,7640.0,7650.0,569748
2022-05-09,7510.0,7630.0,7450.0,7450.0,271172
2022-05-10,7200.0,7370.0,7140.0,7310.0,248168
2022-05-11,7220.0,7390.0,7200.0,7250.0,166527
2022-05-12,7170.0,7190.0,6810.0,6880.0,306876
2022-05-13,6980.0,7090.0,6900.0,7050.0,126432
2022-05-16,7150.0,7180.0,7000.0,7030.0,115945
2022-05-17,7090.0,7090.0,6960.0,7040.0,75030
2022-05-18,7060.0,7120.0,6980.0,7000.0,103268
2022-05-19,6750.0,6910.0,6750.0,6830.0,156654
2022-05-20,7000.0,7030.0,6730.0,6830.0,264904
2022-05-23,6780.0,6820.0,6650.0,6670.0,200423
