date,open,high,low,close,volume
2020-01-02,262500.0,263000.0,257000.0,258000.0,81386
2020-01-03,258500.0,259500.0,253000.0,256500.0,115357
2020-01-06,253500.0,255500.0,250000.0,251000.0,78191
2020-01-07,251000.0,257500.0,250500.0,257000.0,93523
2020-01-08,252000.0,252000.0,243500.0,244500.0,175476
2020-01-09,245500.0,250000.0,245000.0,247000.0,167376
2020-01-10,244500.0,248000.0,244000.0,246000.0,157335
2020-01-13,245500.0,247000.0,243000.0,246500.0,111378
2020-01-14,247000.0,249500.0,246000.0,248000.0,140742
2020-01-15,246500.0,247000.0,244500.0,245500.0,155252
2020-01-16,246000.0,246000.0,242000.0,244000.0,90656
2020-01-17,244000.0,247000.0,243000.0,245000.0,138322
2020-01-20,244000.0,244500.0,240000.0,240500.0,137156
2020-01-21,239500.0,243500.0,239000.0,240500.0,86584
2020-01-22,243000.0,243000.0,239500.0,241000.0,50458
2020-01-23,239000.0,241000.0,236000.0,241000.0,115919
2020-01-28,236000.0,241000.0,230500.0,231000.0,136552
2020-01-29,231500.0,236500.0,230000.0,234500.0,157541
2020-01-30,234500.0,244000.0,234500.0,240500.0,266582
2020-01-31,243500.0,243500.0,235500.0,235500.0,121946
2020-02-03,232500.0,234500.0,230500.0,231500.0,133268
2020-02-04,230500.0,236500.0,230500.0,232500.0,176205
2020-02-05,234000.0,240500.0,233000.0,237000.0,284103
2020-02-06,240000.0,243500.0,238000.0,242500.0,722006
2020-02-07,240000.0,242000.0,237500.0,239000.0,101496
2020-02-10,236500.0,236500.0,232500.0,235000.0,88621
2020-02-11,236500.0,238500.0,235000.0,238000.0,78976
2020-02-12,236000.0,237000.0,233000.0,236000.0,100584
2020-02-13,235000.0,237500.0,234000.0,234000.0,140090
2020-02-14,233000.0,236000.0,231500.0,232000.0,104123
2020-02-17,230500.0,231500.0,227000.0,228000.0,137725
2020-02-18,228500.0,228500.0,222000.0,223500.0,117727
2020-02-19,226500.0,227500.0,222000.0,223500.0,87032
2020-02-20,223500.0,224500.0,216500.0,216500.0,158477
2020-02-21,211500.0,218000.0,211000.0,212500.0,123940
2020-02-24,209000.0,209500.0,201000.0,202000.0,246357
2020-02-25,200500.0,208500.0,200500.0,206000.0,177839
2020-02-26,200000.0,206500.0,200000.0,203000.0,161591
2020-02-27,203000.0,206500.0,199000.0,200500.0,160934
2020-02-28,198000.0,200000.0,190500.0,192000.0,231899
2020-03-02,192000.0,194000.0,190500.0,191000.0,181793
2020-03-03,193000.0,196500.0,191000.0,191500.0,214940
2020-03-04,192500.0,199000.0,192000.0,197000.0,272260
2020-03-05,199000.0,202000.0,196500.0,200500.0,279705
